ssp,budget,feat_weights
ssp1,lowBud,feat15
ssp1,lowBud,feat24
ssp1,lowBud,feat33
ssp1,lowBud,feat42
ssp1,lowBud,feat51
ssp1,highBud,feat15
ssp1,highBud,feat24
ssp1,highBud,feat33
ssp1,highBud,feat42
ssp1,highBud,feat51
ssp2,lowBud,feat15
ssp2,lowBud,feat24
ssp2,lowBud,feat33
ssp2,lowBud,feat42
ssp2,lowBud,feat51
ssp2,highBud,feat15
ssp2,highBud,feat24
ssp2,highBud,feat33
ssp2,highBud,feat42
ssp2,highBud,feat51
ssp3,lowBud,feat15
ssp3,lowBud,feat24
ssp3,lowBud,feat33
ssp3,lowBud,feat42
ssp3,lowBud,feat51
ssp3,highBud,feat15
ssp3,highBud,feat24
ssp3,highBud,feat33
ssp3,highBud,feat42
ssp3,highBud,feat51
ssp4,lowBud,feat15
ssp4,lowBud,feat24
ssp4,lowBud,feat33
ssp4,lowBud,feat42
ssp4,lowBud,feat51
ssp4,highBud,feat15
ssp4,highBud,feat24
ssp4,highBud,feat33
ssp4,highBud,feat42
ssp4,highBud,feat51
ssp5,lowBud,feat15
ssp5,lowBud,feat24
ssp5,lowBud,feat33
ssp5,lowBud,feat42
ssp5,lowBud,feat51
ssp5,highBud,feat15
ssp5,highBud,feat24
ssp5,highBud,feat33
ssp5,highBud,feat42
ssp5,highBud,feat51
ssp_all,lowBud,feat15
ssp_all,lowBud,feat24
ssp_all,lowBud,feat33
ssp_all,lowBud,feat42
ssp_all,lowBud,feat51
ssp_all,highBud,feat15
ssp_all,highBud,feat24
ssp_all,highBud,feat33
ssp_all,highBud,feat42
ssp_all,highBud,feat51
